robot_id,timestamp,battery,motor_current,temperature,vibration,speed,operating_hours,navigation_errors,maintenance_risk,anomaly_score,anomaly,health_score,status
R01,0,62.18,8.78,49.62,2.34,1.44,0.0,0,0,2.257,0,100,Healthy
R01,1,61.92,9.9,45.84,2.17,1.64,0.15,0,0,2.236,0,100,Healthy
R01,2,61.82,8.29,32.43,1.29,1.36,0.3,1,0,2.808,0,100,Healthy
R01,3,61.7,7.16,31.3,2.06,1.65,0.45,1,0,2.719,0,100,Healthy
R01,4,61.64,6.62,43.88,2.08,1.43,0.6,1,0,2.044,0,100,Healthy
R01,5,61.56,7.36,41.97,2.34,1.6,0.75,1,0,1.849,0,100,Healthy
R01,6,61.38,6.41,42.98,3.02,1.54,0.9,0,0,2.098,0,100,Healthy
R01,7,61.28,7.86,40.49,1.47,1.32,1.05,1,0,2.181,0,100,Healthy
R01,8,61.16,6.64,42.67,2.91,1.72,1.2,2,0,2.047,0,100,Healthy
R01,9,61.02,6.19,47.5,2.38,1.4,1.35,0,0,2.226,0,100,Healthy
R01,10,60.79,9.0,43.48,1.77,1.48,1.5,2,0,1.833,0,100,Healthy
R01,11,60.54,12.05,37.4,2.22,1.48,1.65,0,1,2.631,0,80,Healthy
R01,12,60.49,6.3,47.21,3.13,1.5,1.8,0,0,2.113,0,100,Healthy
R01,13,60.33,7.05,45.72,2.35,1.39,1.95,0,0,1.919,0,100,Healthy
R01,14,60.05,8.6,47.79,2.68,1.58,2.1,0,0,1.817,0,100,Healthy
R01,15,59.78,9.65,42.88,2.28,1.67,2.25,0,0,1.886,0,100,Healthy
R01,16,59.67,9.53,40.54,0.64,1.59,2.4,0,0,2.61,0,100,Healthy
R01,17,59.59,8.54,41.17,2.65,0.99,2.55,1,0,2.462,0,100,Healthy
R01,18,59.3,5.7,41.87,2.54,2.12,2.7,0,0,3.167,0,100,Healthy
R01,19,59.18,7.77,43.51,2.48,1.21,2.85,1,0,1.826,0,100,Healthy
R01,20,58.96,7.07,45.87,1.94,1.85,3.0,2,0,2.201,0,100,Healthy
R01,21,58.89,7.41,46.62,3.69,1.72,3.15,0,0,2.097,0,100,Healthy
R01,22,58.71,8.78,35.89,2.88,1.27,3.3,1,0,1.956,0,100,Healthy
R01,23,58.62,7.06,40.39,3.07,1.19,3.45,2,0,2.0,0,100,Healthy
R01,24,58.51,8.31,45.91,1.63,1.17,3.6,4,0,2.582,0,100,Healthy
R01,25,58.44,8.35,38.43,3.81,1.62,3.75,1,0,1.831,0,100,Healthy
R01,26,58.22,7.1,36.35,3.04,1.82,3.9,2,0,2.176,0,100,Healthy
R01,27,58.14,6.36,38.14,3.12,1.44,4.05,2,0,1.847,0,100,Healthy
R01,28,57.95,6.31,41.83,1.83,1.74,4.2,0,0,2.153,0,100,Healthy
R01,29,57.74,7.85,45.7,2.18,1.69,4.35,1,0,1.565,0,100,Healthy
